기업명,종목코드,사업연도,보고서구분,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,부채비율,영업이익률,순이익률,매출성장률,영업이익성장률
IBK기업은행,24110,2023,사업보고서,0,3432281000000,2675188000000,448427279000000,416610518000000,31816761000000,13.09405812866998,0.0,0.0,0.0,0.0
IBK기업은행,24110,2024,사업보고서,0,3594087000000,2654338000000,472219838000000,437988747000000,34231091000000,12.795056605119598,0.0,0.0,0.0,0.0471424105427265
JW중외제약,1060,2022,사업보고서,684351099249,62960870729,29852560173,627972755001,402213719428,225759035573,1.781606297205955,0.09200083231851695,0.04362170266952139,0.0,0.0
JW중외제약,1060,2023,사업보고서,748526707817,100303770111,38430259560,645038796101,379598339300,265440456801,1.4300696430182225,0.13400159147764476,0.05134120019855783,0.09377585370787833,0.5931128167323729
JW중외제약,1060,2024,사업보고서,719375756340,82488136816,65040120873,604598517283,275111775158,329486742125,0.8349706983160757,0.11466627293040643,0.09041188877966574,-0.03894443734949116,-0.1776167862412802
KB금융,105560,2023,사업보고서,0,6435319000000,4563431000000,715738152000000,656864842000000,58873310000000,11.157260259360312,0.0,0.0,0.0,0.0
KB금융,105560,2024,사업보고서,0,8045261000000,5028606000000,757845532000000,698030351000000,59815181000000,11.669785819088302,0.0,0.0,0.0,0.2501728352549424
KCC,2380,2022,사업보고서,6774793651227,467661528938,28661656966,13118486307658,7567347802320,5551138505338,1.3632064476581163,0.06902963440861415,0.004230631727183161,0.0,0.0
KCC,2380,2023,사업보고서,6288442613717,312530203929,92502625102,13353471078397,7905941668878,5447529409519,1.4512893964488152,0.049699142240286466,0.014709941838416991,-0.07178831748210013,-0.3317170975369378
KCC,2380,2024,사업보고서,6658762417820,471118235184,293294512467,13108550142754,8069234736205,5039315406549,1.6012561400142515,0.07075162104045132,0.044046399925922144,0.058888953410375366,0.5074326553443382
KT,30200,2022,사업보고서,25650011000000,1690088000000,1387663000000,40980681000000,22565958000000,18414723000000,1.225430216897642,0.06589034211330358,0.05409989882655411,0.0,0.0
KT,30200,2023,사업보고서,26376273000000,1649774000000,988718000000,42709982000000,24148845000000,18561137000000,1.3010434112953317,0.06254765409806003,0.03748512915376634,0.028314295849619642,-0.02385319580992229
KT,30200,2024,사업보고서,26431204000000,809471000000,417094000000,41879957000000,23883408000000,17996549000000,1.3271104365620319,0.03062558179339844,0.015780363240357875,0.002082591426013858,-0.5093443101903654
KT&G,33780,2022,사업보고서,5851406367817,1267649967727,1005327163465,12301715783797,2943135752405,9358580031392,0.31448528970556194,0.216640220836333,0.1718094933543404,0.0,0.0
KT&G,33780,2023,사업보고서,5862608000000,1167336000000,922361000000,12772452000000,3477517000000,9294935000000,0.3741303193621042,0.19911547898136803,0.15732946838676576,0.0019143487016402005,-0.07913380687168015
KT&G,33780,2024,사업보고서,5908792000000,1188814000000,1164999000000,13925237000000,4566772000000,9358465000000,0.4879830185826415,0.20119408501771596,0.19716365037049874,0.0078777226790534,0.018399158425680406
LG,3550,2022,사업보고서,7185987000000,1941380000000,2115750000000,29633677000000,3399491000000,26234186000000,0.12958248447274104,0.27016191373571924,0.2944271955960956,0.0,0.0
LG,3550,2023,사업보고서,7445336000000,1589013000000,1414258000000,30253085000000,3236596000000,27016489000000,0.11980076315615992,0.2134239475558927,0.189952206320843,0.036090936429470366,-0.18150336358672692
LG,3550,2024,사업보고서,7175505000000,966842000000,790478000000,31639273000000,3506640000000,28132633000000,0.12464670477164366,0.1347420146735317,0.11016339616514796,-0.03624161488480837,-0.3915455694824397
LG디스플레이,34220,2022,사업보고서,26151781000000,-2085047000000,-3195585000000,35686019000000,24366792000000,11319227000000,2.1526904619900282,-0.0797286808114522,-0.12219378098952419,0.0,0.0
LG디스플레이,34220,2023,사업보고서,21330819000000,-2510164000000,-2576729000000,35759298000000,26988754000000,8770544000000,3.0772041050133265,-0.11767780693277646,-0.12079840909999752,-0.1843454562425404,0.20388844951696528
LG디스플레이,34220,2024,사업보고서,26615347000000,-560596000000,-2409300000000,32859566000000,24786759000000,8072807000000,3.070401534435296,-0.02106288525939564,-0.09052296030557107,0.24774144865229974,-0.7766695721873152
